   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
     499.8      16.306 +- 0.437                0.0      14.772 +- 0.171
     999.6      15.575 +- 0.342              499.8      14.622 +- 0.170
    1499.4      14.992 +- 0.291              999.6      14.816 +- 0.181
    1999.2      15.232 +- 0.252             1499.4      14.784 +- 0.196
    2499.0      14.792 +- 0.238             1999.2      14.682 +- 0.210
    2998.8      14.659 +- 0.215             2499.0      14.676 +- 0.249
    3498.6      14.887 +- 0.212             2998.8      14.994 +- 0.253
    3998.4      14.543 +- 0.193             3498.6      14.959 +- 0.287
    4498.2      14.690 +- 0.183             3998.4      14.900 +- 0.357
    4998.0      14.772 +- 0.171             4498.2      14.757 +- 0.468
