   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      25.647 +- 0.789                0.0      23.497 +- 0.405
     199.6      25.695 +- 0.610               99.8      23.191 +- 0.425
     299.4      24.841 +- 0.551              199.6      23.777 +- 0.437
     399.2      24.935 +- 0.498              299.4      24.108 +- 0.441
     499.0      24.214 +- 0.470              399.2      24.711 +- 0.441
     598.8      24.370 +- 0.431              499.0      23.877 +- 0.472
     698.6      24.423 +- 0.440              598.8      24.544 +- 0.525
     798.4      23.769 +- 0.432              698.6      24.988 +- 0.512
     898.2      24.235 +- 0.402              798.4      25.164 +- 0.599
     998.0      23.497 +- 0.405              898.2      24.482 +- 0.822
