   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -8.905 +- 0.538                0.0     -10.727 +- 0.267
     199.6      -9.424 +- 0.467               99.8     -10.428 +- 0.258
     299.4      -7.973 +- 0.368              199.6     -10.381 +- 0.269
     399.2      -8.801 +- 0.422              299.4     -10.203 +- 0.279
     499.0      -9.075 +- 0.373              399.2     -10.200 +- 0.308
     598.8      -8.978 +- 0.394              499.0     -10.563 +- 0.346
     698.6      -8.830 +- 0.314              598.8     -10.651 +- 0.388
     798.4      -8.384 +- 0.349              698.6     -10.119 +- 0.344
     898.2     -10.227 +- 0.257              798.4      -9.757 +- 0.402
     998.0     -10.727 +- 0.267              898.2      -9.474 +- 0.537
