   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
     499.8      12.812 +- 0.319                0.0      13.035 +- 0.097
     999.6      13.055 +- 0.216              499.8      13.052 +- 0.103
    1499.4      12.983 +- 0.179              999.6      13.037 +- 0.109
    1999.2      12.961 +- 0.151             1499.4      13.088 +- 0.117
    2499.0      12.880 +- 0.138             1999.2      13.197 +- 0.127
    2998.8      13.037 +- 0.125             2499.0      13.254 +- 0.140
    3498.6      13.101 +- 0.116             2998.8      13.153 +- 0.158
    3998.4      13.073 +- 0.109             3498.6      13.089 +- 0.185
    4498.2      13.029 +- 0.103             3998.4      13.096 +- 0.219
    4998.0      13.035 +- 0.097             4498.2      12.981 +- 0.321
