   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      16.459 +- 0.525                0.0      16.609 +- 0.203
     199.6      16.489 +- 0.405               99.8      17.126 +- 0.224
     299.4      15.778 +- 0.349              199.6      16.912 +- 0.239
     399.2      15.621 +- 0.320              299.4      17.167 +- 0.236
     499.0      15.925 +- 0.279              399.2      17.451 +- 0.260
     598.8      15.777 +- 0.269              499.0      17.430 +- 0.262
     698.6      16.101 +- 0.250              598.8      17.756 +- 0.284
     798.4      16.271 +- 0.231              698.6      17.853 +- 0.337
     898.2      16.554 +- 0.210              798.4      17.307 +- 0.383
     998.0      16.609 +- 0.203              898.2      17.646 +- 0.503
