   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -3.901 +- 0.180                0.0      -4.446 +- 0.071
     199.6      -4.391 +- 0.151               99.8      -4.423 +- 0.065
     299.4      -4.626 +- 0.154              199.6      -3.681 +- 0.065
     399.2      -4.652 +- 0.112              299.4      -3.904 +- 0.067
     499.0      -4.653 +- 0.098              399.2      -3.779 +- 0.074
     598.8      -4.544 +- 0.078              499.0      -3.719 +- 0.077
     698.6      -4.458 +- 0.070              598.8      -3.651 +- 0.082
     798.4      -4.340 +- 0.063              698.6      -3.546 +- 0.097
     898.2      -4.376 +- 0.064              798.4      -3.619 +- 0.098
     998.0      -4.446 +- 0.071              898.2      -3.858 +- 0.133
