   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      25.490 +- 0.612                0.0      23.483 +- 0.233
     199.6      24.434 +- 0.478               99.8      22.875 +- 0.247
     299.4      23.941 +- 0.401              199.6      22.599 +- 0.256
     399.2      23.619 +- 0.359              299.4      22.391 +- 0.272
     499.0      24.401 +- 0.335              399.2      22.813 +- 0.304
     598.8      23.850 +- 0.311              499.0      22.418 +- 0.331
     698.6      23.703 +- 0.289              598.8      22.687 +- 0.393
     798.4      23.733 +- 0.261              698.6      22.550 +- 0.438
     898.2      23.414 +- 0.245              798.4      21.639 +- 0.488
     998.0      23.483 +- 0.233              898.2      22.421 +- 0.651
