   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.287 +- 0.068                0.0      -2.320 +- 0.030
     199.6      -2.320 +- 0.054               99.8      -2.338 +- 0.032
     299.4      -2.476 +- 0.052              199.6      -2.281 +- 0.031
     399.2      -2.462 +- 0.045              299.4      -2.352 +- 0.036
     499.0      -2.413 +- 0.039              399.2      -2.323 +- 0.039
     598.8      -2.335 +- 0.037              499.0      -2.382 +- 0.041
     698.6      -2.339 +- 0.035              598.8      -2.438 +- 0.049
     798.4      -2.295 +- 0.033              698.6      -2.473 +- 0.057
     898.2      -2.315 +- 0.032              798.4      -2.473 +- 0.063
     998.0      -2.320 +- 0.030              898.2      -2.473 +- 0.085
