   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.891 +- 0.106                0.0      -3.111 +- 0.056
     199.6      -3.099 +- 0.090               99.8      -3.327 +- 0.060
     299.4      -3.157 +- 0.078              199.6      -3.410 +- 0.065
     399.2      -3.380 +- 0.087              299.4      -3.487 +- 0.075
     499.0      -2.928 +- 0.081              399.2      -3.449 +- 0.078
     598.8      -2.859 +- 0.073              499.0      -3.762 +- 0.081
     698.6      -2.918 +- 0.067              598.8      -3.911 +- 0.095
     798.4      -2.922 +- 0.064              698.6      -3.712 +- 0.103
     898.2      -3.006 +- 0.062              798.4      -3.658 +- 0.113
     998.0      -3.111 +- 0.056              898.2      -3.720 +- 0.155
