   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      23.678 +- 0.527                0.0      21.689 +- 0.207
     199.6      22.985 +- 0.396               99.8      21.245 +- 0.215
     299.4      22.571 +- 0.337              199.6      20.708 +- 0.244
     399.2      22.185 +- 0.297              299.4      20.572 +- 0.261
     499.0      21.829 +- 0.271              399.2      20.762 +- 0.281
     598.8      21.720 +- 0.257              499.0      20.812 +- 0.314
     698.6      21.666 +- 0.241              598.8      20.860 +- 0.344
     798.4      21.684 +- 0.227              698.6      21.593 +- 0.356
     898.2      21.737 +- 0.219              798.4      21.569 +- 0.400
     998.0      21.689 +- 0.207              898.2      22.503 +- 0.533
