   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
     499.8      10.489 +- 0.401                0.0      10.855 +- 0.123
     999.6      10.664 +- 0.277              499.8      10.854 +- 0.130
    1499.4      10.634 +- 0.228              999.6      10.814 +- 0.139
    1999.2      10.772 +- 0.197             1499.4      10.815 +- 0.148
    2499.0      10.730 +- 0.176             1999.2      10.791 +- 0.161
    2998.8      10.837 +- 0.161             2499.0      10.850 +- 0.175
    3498.6      10.746 +- 0.149             2998.8      10.742 +- 0.195
    3998.4      10.800 +- 0.139             3498.6      10.901 +- 0.222
    4498.2      10.747 +- 0.131             3998.4      10.832 +- 0.276
    4998.0      10.855 +- 0.123             4498.2      11.175 +- 0.374
