   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8     -12.746 +- 0.563                0.0     -15.600 +- 0.387
     199.6     -13.435 +- 0.480               99.8     -17.524 +- 0.564
     299.4     -14.139 +- 0.446              199.6     -18.014 +- 0.686
     399.2     -14.471 +- 0.428              299.4     -18.394 +- 0.741
     499.0     -14.782 +- 0.412              399.2     -18.650 +- 0.874
     598.8     -15.341 +- 0.397              499.0     -17.578 +- 1.516
     698.6     -15.640 +- 0.397              598.8     -19.572 +- 1.231
     798.4     -14.982 +- 0.389              698.6     -19.124 +- 1.342
     898.2     -16.454 +- 0.397              798.4     -18.653 +- 1.367
     998.0     -15.600 +- 0.387              898.2     -18.290 +- 1.922
