   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      26.302 +- 0.550                0.0      21.187 +- 0.295
     199.6      25.324 +- 0.426               99.8      21.494 +- 0.286
     299.4      24.467 +- 0.358              199.6      21.480 +- 0.308
     399.2      23.334 +- 0.345              299.4      21.579 +- 0.326
     499.0      22.726 +- 0.338              399.2      21.406 +- 0.347
     598.8      22.203 +- 0.320              499.0      20.709 +- 0.362
     698.6      21.932 +- 0.327              598.8      20.295 +- 0.389
     798.4      21.955 +- 0.316              698.6      20.245 +- 0.408
     898.2      21.263 +- 0.310              798.4      19.794 +- 0.489
     998.0      21.187 +- 0.295              898.2      19.935 +- 0.654
