   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      26.532 +- 0.824                0.0      25.563 +- 0.418
     199.6      26.805 +- 0.650               99.8      26.892 +- 0.449
     299.4      26.726 +- 0.547              199.6      27.418 +- 0.438
     399.2      26.884 +- 0.480              299.4      26.386 +- 0.422
     499.0      27.056 +- 0.461              399.2      27.388 +- 0.427
     598.8      27.313 +- 0.429              499.0      26.655 +- 0.493
     698.6      26.987 +- 0.438              598.8      27.114 +- 0.500
     798.4      27.291 +- 0.414              698.6      26.356 +- 0.509
     898.2      27.332 +- 0.404              798.4      26.432 +- 0.598
     998.0      25.563 +- 0.418              898.2      26.311 +- 0.797
