   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -6.046 +- 0.275                0.0      -7.075 +- 0.114
     199.6      -5.301 +- 0.194               99.8      -7.302 +- 0.116
     299.4      -5.885 +- 0.163              199.6      -7.471 +- 0.125
     399.2      -5.259 +- 0.146              299.4      -7.621 +- 0.137
     499.0      -6.398 +- 0.138              399.2      -7.730 +- 0.150
     598.8      -6.692 +- 0.135              499.0      -7.794 +- 0.169
     698.6      -6.798 +- 0.126              598.8      -7.909 +- 0.198
     798.4      -6.927 +- 0.123              698.6      -7.531 +- 0.219
     898.2      -7.001 +- 0.118              798.4      -7.086 +- 0.246
     998.0      -7.075 +- 0.114              898.2      -6.555 +- 0.313
