   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      26.362 +- 0.651                0.0      22.162 +- 0.340
     199.6      24.262 +- 0.505               99.8      22.045 +- 0.331
     299.4      23.598 +- 0.436              199.6      21.907 +- 0.322
     399.2      22.806 +- 0.404              299.4      21.849 +- 0.345
     499.0      23.106 +- 0.370              399.2      22.458 +- 0.361
     598.8      23.053 +- 0.364              499.0      22.767 +- 0.405
     698.6      23.114 +- 0.346              598.8      23.602 +- 0.438
     798.4      22.599 +- 0.335              698.6      23.442 +- 0.479
     898.2      22.736 +- 0.333              798.4      23.181 +- 0.540
     998.0      22.162 +- 0.340              898.2      23.212 +- 0.712
