   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -1.834 +- 0.063                0.0      -2.060 +- 0.032
     199.6      -1.805 +- 0.049               99.8      -2.085 +- 0.035
     299.4      -1.794 +- 0.041              199.6      -2.112 +- 0.039
     399.2      -1.820 +- 0.036              299.4      -2.210 +- 0.045
     499.0      -1.830 +- 0.035              399.2      -1.901 +- 0.046
     598.8      -1.849 +- 0.032              499.0      -1.916 +- 0.053
     698.6      -1.824 +- 0.030              598.8      -1.953 +- 0.058
     798.4      -1.956 +- 0.032              698.6      -2.230 +- 0.078
     898.2      -2.032 +- 0.032              798.4      -2.200 +- 0.090
     998.0      -2.060 +- 0.032              898.2      -2.310 +- 0.113
