"V1" "V2" "V3" "V4"
"1" "A_0101" "abaca" "nopep" "-5.2"
"2" "A_0101" "abaca" "polyA" "-1.3"
"3" "A_0101" "abaca" "polyG" "-0.3"
"4" "A_0101" "allop" "nopep" "-5.4"
"5" "A_0101" "allop" "polyA" "-4.6"
"6" "A_0101" "allop" "polyG" "-4.7"
"7" "A_0101" "cbz" "nopep" "-2.7"
"8" "A_0101" "cbz" "polyA" "9.1"
"9" "A_0101" "cbz" "polyG" "2.9"
"10" "A_0201" "abaca" "nopep" "-6.2"
"11" "A_0201" "abaca" "polyA" "9.1"
"12" "A_0201" "abaca" "polyG" "5.3"
"13" "A_0201" "allop" "nopep" "-5.8"
"14" "A_0201" "allop" "polyA" "-3.6"
"15" "A_0201" "allop" "polyG" "-5.4"
"16" "A_0201" "cbz" "nopep" "-5.9"
"17" "A_0201" "cbz" "polyA" "8.9"
"18" "A_0201" "cbz" "polyG" "2.6"
"19" "A_0202" "abaca" "nopep" "-6.2"
"20" "A_0202" "abaca" "polyA" "4.6"
"21" "A_0202" "abaca" "polyG" "-0.8"
"22" "A_0202" "allop" "nopep" "-5.9"
"23" "A_0202" "allop" "polyA" "-4.4"
"24" "A_0202" "allop" "polyG" "-5.9"
"25" "A_0202" "cbz" "nopep" "-7.3"
"26" "A_0202" "cbz" "polyA" "11.9"
"27" "A_0202" "cbz" "polyG" "8"
"28" "A_0203" "abaca" "nopep" "-7.1"
"29" "A_0203" "abaca" "polyA" "1.6"
"30" "A_0203" "abaca" "polyG" "-0.2"
"31" "A_0203" "allop" "nopep" "-5.7"
"32" "A_0203" "allop" "polyA" "-5"
"33" "A_0203" "allop" "polyG" "-5.9"
"34" "A_0203" "cbz" "nopep" "-5.6"
"35" "A_0203" "cbz" "polyA" "6.4"
"36" "A_0203" "cbz" "polyG" "1.6"
"37" "A_0205" "abaca" "nopep" "-4.6"
"38" "A_0205" "abaca" "polyA" "7.9"
"39" "A_0205" "abaca" "polyG" "4.6"
"40" "A_0205" "allop" "nopep" "-6"
"41" "A_0205" "allop" "polyA" "-3.8"
"42" "A_0205" "allop" "polyG" "-5.5"
"43" "A_0205" "cbz" "nopep" "-7.5"
"44" "A_0205" "cbz" "polyA" "12.8"
"45" "A_0205" "cbz" "polyG" "8"
"46" "A_0206" "abaca" "nopep" "-6.1"
"47" "A_0206" "abaca" "polyA" "5.5"
"48" "A_0206" "abaca" "polyG" "0.9"
"49" "A_0206" "allop" "nopep" "-5.9"
"50" "A_0206" "allop" "polyA" "-4.4"
"51" "A_0206" "allop" "polyG" "-5.9"
"52" "A_0206" "cbz" "nopep" "-5.5"
"53" "A_0206" "cbz" "polyA" "7.6"
"54" "A_0206" "cbz" "polyG" "4.4"
"55" "A_0207" "abaca" "nopep" "-7.9"
"56" "A_0207" "abaca" "polyA" "3.6"
"57" "A_0207" "abaca" "polyG" "1.1"
"58" "A_0207" "allop" "nopep" "-5.9"
"59" "A_0207" "allop" "polyA" "-5.3"
"60" "A_0207" "allop" "polyG" "-6.1"
"61" "A_0207" "cbz" "nopep" "-8"
"62" "A_0207" "cbz" "polyA" "3.3"
"63" "A_0207" "cbz" "polyG" "-0.5"
"64" "A_0217" "abaca" "nopep" "-7.1"
"65" "A_0217" "abaca" "polyA" "3.2"
"66" "A_0217" "abaca" "polyG" "-0.8"
"67" "A_0217" "allop" "nopep" "-5.9"
"68" "A_0217" "allop" "polyA" "-5.1"
"69" "A_0217" "allop" "polyG" "-6.6"
"70" "A_0217" "cbz" "nopep" "-6.4"
"71" "A_0217" "cbz" "polyA" "4.3"
"72" "A_0217" "cbz" "polyG" "3.8"
"73" "A_0301" "abaca" "nopep" "-4.7"
"74" "A_0301" "abaca" "polyA" "-0.6"
"75" "A_0301" "abaca" "polyG" "0.6"
"76" "A_0301" "allop" "nopep" "-4.8"
"77" "A_0301" "allop" "polyA" "-4.5"
"78" "A_0301" "allop" "polyG" "-4.5"
"79" "A_0301" "cbz" "nopep" "-0.2"
"80" "A_0301" "cbz" "polyA" "5.9"
"81" "A_0301" "cbz" "polyG" "5.3"
"82" "A_1101" "abaca" "nopep" "-6.9"
"83" "A_1101" "abaca" "polyA" "-3.9"
